Name,BirthDate,DeathDate,DebutDate,LastFilmDate,Movies,Date of Death 2
A. K. Hangal,2/1/1914,8/26/2012,1905,1905,Sholay ,"A. K. Hangal, 26 August 2012"
Aamir Khan,3/14/1965,alive,1905,1905,Lagaan ,"Aamir Khan,alive"
Aanjjan Srivastav,6/2/1948,alive,1905,1905,"Aloo Chaat, Shakal Pe Mat Ja, Ek Villain","Aanjjan Srivastav,alive"
Aasif Sheikh,11/11/1964,alive,1905,1905,Kabhi Haan Kabhi Naa ,"Aasif Sheikh,alive"
Abhi Bhattacharya,11/20/1921,8/11/1993,1905,1905,"Nuvvu Nenu, Nenunnanu, Adavi Ramudu","Abhi Bhattacharya, 11 August 1993"
Abhijeet Sawant,10/7/1981,alive,1905,1905,"Awara Paagal Deewana, Shootout at Lokhandwala, Heyy Babyy","Abhijeet Sawant,alive"
Abhinav Shukla,9/27/1982,alive,1905,1905,Dilwale ,"Abhinav Shukla,alive"
Abhishek Bachchan,2/5/1976,alive,1905,1905,Dev.D,"Abhishek Bachchan,alive"
Abhay Deol,3/15/1976,alive,1905,1905,Jagriti ,"Abhay Deol,alive"
Achyut Potdar,8/22/1934,alive,1905,1905,Lottery ,"Achyut Potdar,alive"
Aditya Kumar,12/7/1992,alive,1905,1905,Aksar 2 ,"Aditya Kumar,alive"
Aditya Roy Kapur,11/16/1985,alive,1905,1905,Guru ,"Aditya Roy Kapur,alive"
Aditya Shrivastava,7/21/1968,alive,1905,1905,3 Idiots,"Aditya Shrivastava,alive"
Aftab Shivdasani,6/25/1978,alive,1905,1905,"1920, Hasee Toh Phasee, Commando 2","Aftab Shivdasani,alive"
Ahan Shetty,12/28/1995,alive,1905,1905,"Kurukshetra, 7th Day, Babloo Happy Hai","Ahan Shetty,alive"
Ajay Devgan,4/2/1969,alive,1905,1905,"Baaz: A Bird in Danger, Paheli, De Dana Dan","Ajay Devgan,alive"
Ajay Nagrath,2/16/1986,alive,1905,1905,"Vitti Dandu, Sanngto Aika, Chaurya","Ajay Nagrath,alive"
Ajith Kumar,5/1/1971,alive,1905,N/A,Band Baaja Baaraat,"Ajith Kumar,alive"
Ajinkya Deo,5/3/1963,alive,1905,1905,Aashiqui 2 ,"Ajinkya Deo,alive"
Akshay Anand,1/30/1969,alive,,,Satya ,"Akshay Anand,alive"
Akshay Kumar,9/9/1967,alive,,,Mast,"Akshay Kumar,alive"
Akshaye Khanna,3/28/1975,alive,,,"Njandukalude Nattil Oridavela, Luca, Pathinettam Padi","Akshaye Khanna,alive"
Ali Fazal,10/15/1986,alive,,,Tadap ,"Ali Fazal,alive"
Alok Nath,7/10/1956,alive,,,"Vaastu Shastra, Kabhi Alvida Naa Kehna, Phoonk","Alok Nath,alive"
Amar Upadhyay,8/1/1976,alive,,,"Manasaare, Bhajarangi, Melkote Manja","Amar Upadhyay,alive"
Amit Sadh,6/5/1979,alive,,,"Satyameva Jayate, Malang, The Zoya Factor","Amit Sadh,alive"
Amitabh Bachchan,10/11/1942,alive,,,"Devdas, Jodhaa Akbar, Ae Dil Hai Mushkil","Amitabh Bachchan,alive"
Amol Palekar,11/24/1944,alive,,,"Kaaka Muttai, Dharma Durai, Kanaa","Amol Palekar,alive"
Amrinder Gill,5/11/1976,alive,,,Singham ,"Amrinder Gill,alive"
